id,dataset,seed,subsample,repeat,AUROC,F1,Recall,Precision,runtime,lag,sum,lambda_a,lambda_w,w_thres,alpha
var,synth,indep,3,1,0.7,0.4,1.0,0.25,0.0220131874084472,10.0,max,,,,
var,synth,indep,4,1,0.7,0.4,1.0,0.25,0.0177857875823974,10.0,max,,,,
var,synth,indep,5,1,0.7,0.4,1.0,0.25,0.0169670581817626,10.0,max,,,,
var,synth,indep,6,1,0.7,0.4,1.0,0.25,0.0142648220062255,10.0,max,,,,
var,synth,indep,7,1,0.7,0.4,1.0,0.25,0.0126471519470214,10.0,max,,,,
var,synth,indep,8,1,0.7,0.4,1.0,0.25,0.0117688179016113,10.0,max,,,,
var,synth,indep,9,1,0.7,0.4,1.0,0.25,0.0112586021423339,10.0,max,,,,
var,synth,indep,10,1,0.7,0.4,1.0,0.25,0.0102088451385498,10.0,max,,,,
var,synth,indep,20,1,0.7,0.4,1.0,0.25,0.0080699920654296,10.0,max,,,,
var,synth,indep,50,1,0.7,0.4,1.0,0.25,0.0065345764160156,10.0,max,,,,
var,synth,indep,100,1,0.7,0.4,1.0,0.25,0.0059518814086914,10.0,max,,,,
var,synth,x_cause_y,1,1,0.75,0.6666666666666666,1.0,0.5,0.058812141418457,10.0,max,,,,
var,synth,x_cause_y,2,1,0.75,0.6666666666666666,1.0,0.5,0.0323858261108398,10.0,max,,,,
var,synth,x_cause_y,3,1,0.75,0.6666666666666666,1.0,0.5,0.0223796367645263,10.0,max,,,,
var,synth,x_cause_y,4,1,0.75,0.6666666666666666,1.0,0.5,0.0174963474273681,10.0,max,,,,
var,synth,x_cause_y,5,1,0.75,0.6666666666666666,1.0,0.5,0.0154640674591064,10.0,max,,,,
var,synth,x_cause_y,6,1,0.75,0.6666666666666666,1.0,0.5,0.0135669708251953,10.0,max,,,,
var,synth,x_cause_y,7,1,0.75,0.6666666666666666,1.0,0.5,0.0121195316314697,10.0,max,,,,
var,synth,x_cause_y,8,1,0.75,0.6666666666666666,1.0,0.5,0.0111346244812011,10.0,max,,,,
var,synth,x_cause_y,9,1,0.75,0.6666666666666666,1.0,0.5,0.0104527473449707,10.0,max,,,,
var,synth,x_cause_y,10,1,0.75,0.6666666666666666,1.0,0.5,0.0101659297943115,10.0,max,,,,
var,synth,x_cause_y,20,1,0.75,0.6666666666666666,1.0,0.5,0.0086259841918945,10.0,max,,,,
var,synth,x_cause_y,50,1,0.75,0.6666666666666666,1.0,0.5,0.0064406394958496,10.0,max,,,,
var,synth,x_cause_y,100,1,0.75,0.6666666666666666,1.0,0.5,0.0056214332580566,10.0,max,,,,
var,synth,indep,1,1,0.7,0.4,1.0,0.25,0.096604585647583,20.0,max,,,,
var,synth,indep,2,1,0.7,0.4,1.0,0.25,0.0445952415466308,20.0,max,,,,
var,synth,indep,3,1,0.7,0.4,1.0,0.25,0.0321822166442871,20.0,max,,,,
var,synth,indep,4,1,0.7,0.4,1.0,0.25,0.0249242782592773,20.0,max,,,,
var,synth,indep,5,1,0.7,0.4,1.0,0.25,0.0209431648254394,20.0,max,,,,
var,synth,indep,6,1,0.7,0.4,1.0,0.25,0.0185682773590087,20.0,max,,,,
var,synth,indep,7,1,0.7,0.4,1.0,0.25,0.0156519412994384,20.0,max,,,,
var,synth,indep,8,1,0.7,0.4,1.0,0.25,0.0147695541381835,20.0,max,,,,
var,synth,indep,9,1,0.7,0.4,1.0,0.25,0.0142388343811035,20.0,max,,,,
var,synth,indep,10,1,0.7,0.4,1.0,0.25,0.0124139785766601,20.0,max,,,,
var,synth,indep,20,1,0.7,0.4,1.0,0.25,0.0089178085327148,20.0,max,,,,
var,synth,indep,50,1,0.7,0.4,1.0,0.25,0.0071394443511962,20.0,max,,,,
var,synth,indep,100,1,0.7,0.4,1.0,0.25,0.0065422058105468,20.0,max,,,,
var,synth,x_cause_y,1,1,0.75,0.6666666666666666,1.0,0.5,0.0839872360229492,20.0,max,,,,
var,synth,x_cause_y,2,1,0.75,0.6666666666666666,1.0,0.5,0.0451607704162597,20.0,max,,,,
var,synth,x_cause_y,3,1,0.75,0.6666666666666666,1.0,0.5,0.0322105884552001,20.0,max,,,,
var,synth,x_cause_y,4,1,0.75,0.6666666666666666,1.0,0.5,0.025015115737915,20.0,max,,,,
var,synth,x_cause_y,5,1,0.75,0.6666666666666666,1.0,0.5,0.0204095840454101,20.0,max,,,,
var,synth,x_cause_y,6,1,0.75,0.6666666666666666,1.0,0.5,0.0200185775756835,20.0,max,,,,
